ranges,intensities,ray_angle
0.8560000061988831,369.0,-172.28880470567603
0.8429999947547913,371.0,-172.21740470286736
0.8360000252723694,373.0,-172.1460047000587
0.8370000123977661,376.0,-172.07460469725004
0.8420000076293945,371.0,-172.00320469444137
0.8510000109672546,371.0,-171.93180469163272
0.8600000143051147,372.0,-171.86040468882405
0.8610000014305115,368.0,-171.78900468601537
0.8560000061988831,372.0,-171.7176046832067
0.8360000252723694,375.0,-171.64620468039806
0.8560000061988831,373.0,-171.57480467758938
0.8619999885559082,370.0,-171.5034046747807
0.8450000286102295,370.0,-171.43200467197204
0.8560000061988831,372.0,-171.3606046691634
0.8489999771118164,373.0,-171.28920466635472
0.8619999885559082,372.0,-171.21780466354605
0.8519999980926514,371.0,-171.1464046607374
0.8519999980926514,376.0,-171.07500465792873
0.8379999995231628,374.0,-171.00360465512006
0.8569999933242798,373.0,-170.93220465231138
0.8640000224113464,372.0,-170.86080464950274
0.8399999737739563,374.0,-170.78940464669407
0.8529999852180481,374.0,-170.7180046438854
0.8669999837875366,373.0,-170.64660464107672
0.8370000123977661,372.0,-170.57520463826808
0.8579999804496765,369.0,-170.5038046354594
0.8489999771118164,373.0,-170.43240463265073
0.8579999804496765,373.0,-170.36100462984209
0.8370000123977661,376.0,-170.2896046270334
0.8479999899864197,374.0,-170.21820462422474
0.8640000224113464,375.0,-170.14680462141607
0.859000027179718,372.0,-170.07540461860742
0.8700000047683716,373.0,-170.00400461579875
0.8569999933242798,373.0,-169.93260461299008
0.8579999804496765,374.0,-169.8612046101814
0.8259999752044678,373.0,-169.78980460737276
0.8560000061988831,369.0,-169.71840460456409
0.8629999756813049,372.0,-169.6470046017554
0.8429999947547913,374.0,-169.57560459894677
0.8569999933242798,376.0,-169.5042045961381
0.8510000109672546,375.0,-169.43280459332942
0.8650000095367432,374.0,-169.36140459052075
0.8539999723434448,377.0,-169.2900045877121
0.8610000014305115,373.0,-169.21860458490343
0.8550000190734863,371.0,-169.14720458209476
0.847000002861023,374.0,-169.07580457928609
0.8740000128746033,371.0,-169.00440457647744
0.8560000061988831,373.0,-168.93300457366877
0.8769999742507935,373.0,-168.8616045708601
0.8500000238418579,374.0,-168.79020456805145
0.875,370.0,-168.71880456524278
0.8619999885559082,372.0,-168.6474045624341
0.8479999899864197,371.0,-168.57600455962543
0.8640000224113464,370.0,-168.5046045568168
0.8510000109672546,369.0,-168.4332045540081
0.8550000190734863,370.0,-168.36180455119944
0.8600000143051147,367.0,-168.2904045483908
0.8709999918937683,367.0,-168.21900454558212
0.8529999852180481,368.0,-168.14760454277345
0.8500000238418579,374.0,-168.07620453996478
0.8550000190734863,373.0,-168.00480453715613
0.8600000143051147,373.0,-167.93340453434746
0.8830000162124634,369.0,-167.8620045315388
0.8489999771118164,371.0,-167.7906045287301
0.8650000095367432,370.0,-167.71920452592147
0.8730000257492065,368.0,-167.6478045231128
0.871999979019165,371.0,-167.57640452030412
0.8650000095367432,370.0,-167.50500451749548
0.8569999933242798,370.0,-167.4336045146868
0.8669999837875366,369.0,-167.36220451187813
0.8610000014305115,370.0,-167.29080450906946
0.8820000290870667,369.0,-167.21940450626082
0.8610000014305115,372.0,-167.14800450345214
0.8690000176429749,370.0,-167.07660450064347
0.8510000109672546,370.0,-167.0052044978348
0.8640000224113464,370.0,-166.93380449502615
0.8679999709129333,372.0,-166.86240449221748
0.8640000224113464,372.0,-166.7910044894088
0.8560000061988831,373.0,-166.71960448660016
0.8460000157356262,372.0,-166.6482044837915
0.8700000047683716,368.0,-166.57680448098282
0.871999979019165,367.0,-166.50540447817414
0.8659999966621399,370.0,-166.4340044753655
0.890999972820282,369.0,-166.36260447255682
0.871999979019165,367.0,-166.29120446974815
0.8730000257492065,366.0,-166.21980446693948
0.8679999709129333,367.0,-166.14840446413083
